Último,Abertura,Máxima,Mínima
5.39195,5.338185632183908,5.4148,5.311400574712644
5.39075,5.3631356321839085,5.421925,5.331575574712644
5.399075,5.396085632183908,5.435874999999999,5.3610005747126435
5.399075,5.396085632183908,5.435874999999999,5.3610005747126435
5.380775,5.398460632183909,5.432475,5.355325574712644
5.37575,5.379710632183908,5.415725,5.331225574712644
5.359025,5.379710632183908,5.415725,5.331225574712644
5.32665,5.362710632183909,5.392775,5.303950574712644
5.3218250000000005,5.3190106321839075,5.36275,5.2882005747126435
5.3218250000000005,5.3190106321839075,5.350875,5.285325574712644
5.313775,5.320760632183909,5.353999999999999,5.282775574712644
5.3218250000000005,5.3190106321839075,5.353999999999999,5.282775574712644
5.2839,5.2899856321839085,5.335224999999999,5.253350574712644
5.2654,5.3025856321839075,5.327125,5.237250574712643
5.270375,5.270985632183908,5.30775,5.228825574712643
5.2875250000000005,5.273485632183908,5.323525,5.247275574712644
5.2839,5.2899856321839085,5.335224999999999,5.253350574712644
5.270075,5.288185632183908,5.32085,5.238100574712644
5.260775000000001,5.274585632183909,5.299225,5.219450574712644
5.244525,5.265660632183908,5.2905999999999995,5.2131005747126435
5.2189250000000005,5.249710632183908,5.28125,5.195750574712644
5.19345,5.221810632183908,5.252525,5.170125574712643
5.187525,5.196535632183908,5.231775,5.162675574712644
5.187525,5.191085632183908,5.233025,5.164625574712644
5.204,5.199585632183908,5.241975,5.170575574712643
5.198925,5.211960632183908,5.24325,5.164925574712644
5.181775,5.202135632183908,5.228025,5.158175574712644
5.1747250000000005,5.185635632183908,5.2187,5.149050574712644
5.1723,5.1795106321839075,5.210125,5.129525574712644
5.16795,5.177910632183908,5.203849999999999,5.121500574712644
5.16795,5.177910632183908,5.206675000000001,5.127175574712644
5.144525,5.173485632183908,5.195499999999999,5.1216755747126435
5.124925,5.149485632183908,5.173299999999999,5.103450574712643
5.128125,5.128785632183908,5.164,5.094775574712644
5.1286249999999995,5.131735632183908,5.1636,5.091350574712644
5.111575,5.132085632183909,5.1564,5.079050574712643
5.091525,5.116135632183909,5.13925,5.062775574712644
5.0680499999999995,5.097310632183908,5.115975,5.042600574712644
5.08425,5.071560632183909,5.129975,5.032925574712643
5.1224,5.086010632183909,5.159699999999999,5.054075574712644
5.1309000000000005,5.1257106321839085,5.16005,5.092825574712643
5.1309000000000005,5.135860632183908,5.154925,5.113325574712643
5.1158,5.148510632183909,5.1693999999999996,5.0949755747126435
5.083925,5.132835632183909,5.158149999999999,5.0595505747126435
5.07455,5.092160632183909,5.12775,5.043575574712643
5.094425,5.087335632183908,5.127675,5.045875574712643
5.0939,5.094735632183909,5.127525,5.051350574712643
5.0691,5.0822606321839086,5.107799999999999,5.040600574712643
5.056875,5.065685632183908,5.101649999999999,5.031975574712644
5.072425,5.061835632183908,5.113075,5.031225574712644
5.0995,5.072860632183908,5.129,5.038025574712644
5.12165,5.100160632183908,5.151,5.065575574712644
5.11075,5.125360632183908,5.155925,5.074200574712643
5.079725,5.114210632183909,5.1404250000000005,5.058125574712643
5.066575,5.084385632183908,5.11945,5.038275574712643
5.040675,5.071060632183908,5.099924999999999,5.014025574712644
5.01225,5.045060632183908,5.068775,4.992125574712643
4.98485,5.016635632183908,5.04165,4.964775574712643
4.963825,4.989060632183908,5.018575,4.929800574712644
4.942875,4.968185632183909,4.995675,4.906850574712644
4.928425,4.949760632183908,4.985799999999999,4.898775574712643
4.9319500000000005,4.934935632183908,4.974600000000001,4.895050574712643
4.9322,4.936285632183909,4.9678,4.893200574712644
4.8619,4.868410632183908,4.970675,4.894875574712644
4.900175,4.932710632183909,4.957775,4.876700574712643
4.8619,4.868410632183908,4.910774999999999,4.825450574712644
4.8619,4.868410632183908,4.910774999999999,4.825450574712644
4.892725,4.866610632183908,4.923575,4.839825574712643
4.918175,4.8951856321839085,4.94835,4.867050574712644
4.9134,4.920460632183908,4.9655249999999995,4.878925574712643
4.8989,4.9195356321839085,4.957125,4.876150574712644
4.893025,4.896585632183909,4.9238,4.851375574712644
4.8919,4.896585632183909,4.9238,4.851375574712644
4.862025,4.896285632183908,4.935274999999999,4.867350574712644
4.9005,4.901060632183908,4.9331499999999995,4.878800574712644
4.88835,4.876960632183907,4.89915,4.8408005747126435
4.8811,4.892460632183909,4.922375000000001,4.853625574712644
4.8734,4.884760632183909,4.915175,4.844675574712643
4.862025,4.876960632183907,4.89915,4.8408005747126435
4.968625,4.865735632183908,4.9389,4.844150574712644
4.968625,4.909485632183909,5.020524999999999,4.887900574712644
5.019925,4.973560632183908,5.061275,4.951975574712644
5.04205,5.0240106321839075,5.084149999999999,4.984550574712643
5.02795,5.045935632183909,5.0951,4.998900574712644
5.0297,5.031235632183908,5.08045,4.981675574712644
5.065275,5.032185632183909,5.092425,4.989325574712644
5.06185,5.068110632183908,5.1179749999999995,5.013600574712644
