Abertura,Fechamento,Mínima,Máxima
46614.0,45506.0,45388.0,47201.0
46407.0,46629.0,45152.0,46899.0
45813.0,46407.0,45554.0,47435.0
46299.0,45811.0,45641.0,47212.0
45529.0,46297.0,44261.0,46728.0
47071.0,45525.0,45228.0,47624.0
47449.0,47075.0,46601.0,47714.0
47126.0,47449.0,47029.0,48127.0
46859.0,47105.0,46672.0,48199.0
44542.0,46859.0,44445.0,46947.0
44331.0,44548.0,44090.0,44818.0
44013.0,44331.0,43622.0,45112.0
42911.0,44013.0,42658.0,44251.0
42373.0,42912.0,41795.0,43027.0
41022.0,42373.0,40893.0,43327.9
41282.0,41022.0,40530.0,41532.0
42241.0,41276.0,40922.0,42301.0
41768.0,42233.0,41529.6,42386.0
40914.6,41767.8,40234.8,42308.4
41118.7,40914.8,40557.8,41406.0
39282.5,41118.7,38953.2,41701.6
39673.0,39285.7,38220.9,39854.7
37789.5,39671.1,37613.6,39914.3
38813.2,37792.4,37603.4,39272.3
38730.2,38814.3,38666.5,39355.3
39422.5,38730.2,38236.4,40177.0
41933.9,39416.3,38603.5,42029.1
38731.5,41929.0,38663.3,42538.5
38020.6,38744.8,37886.6,39351.5
38420.6,38024.8,37182.1,39532.0
39396.3,38403.1,38115.0,39668.1
39142.8,39395.8,38626.1,39600.2
42463.0,39142.7,38594.9,42848.7
43912.8,42463.0,41840.8,44077.2
44420.3,43912.8,43361.3,45294.2
43187.2,44420.3,42876.6,44900.5
37707.2,43188.2,37458.9,43977.8
39116.6,37689.1,37062.3,39838.5
39221.6,39115.5,38639.1,40094.5
38339.2,39209.6,38042.6,39683.7
37250.2,38339.2,34357.4,39351.6
38248.2,37224.6,37099.5,39194.5
37018.3,38248.2,36399.6,38414.9
38355.0,37017.7,36868.9,39444.1
40089.6,38355.0,38042.2,40120.3
40000.1,40090.3,39666.6,40434.3
40532.5,40000.1,39505.0,40935.5
43885.5,40552.8,40103.8,44167.1
44540.9,43883.6,43377.6,44552.9
42550.3,44544.4,42460.1,44722.6
42061.1,42550.3,41591.3,42799.7
42205.5,42061.1,41880.1,42725.1
42388.4,42205.2,41776.8,43006.4
43519.3,42388.4,42023.4,43915.1
44388.9,43521.0,43242.5,45755.2
44038.2,44388.9,43163.0,44800.4
43833.9,44038.2,42705.0,45399.8
42385.2,43833.9,41695.4,44468.3
41411.9,42392.2,41176.3,42614.8
41566.5,41412.1,40963.3,41899.8
37287.8,41567.6,37041.1,41689.0
36890.2,37287.8,36297.3,37304.3
38711.2,36890.2,36682.3,38853.8
38475.6,38709.7,38037.9,39230.0
37923.8,38498.6,36672.8,38701.4
38167.5,37917.7,37390.6,38313.3
37736.5,38170.8,37350.2,38663.7
37195.6,37745.1,36176.5,37995.9
36800.1,37164.3,35543.2,37215.4
36962.3,36800.4,36280.0,38862.6
36691.3,36950.6,35729.3,37501.8
36268.6,36686.3,32985.6,37424.0
35072.9,36269.5,34655.2,36513.0
36467.7,35075.2,34116.0,36749.8
40698.1,36475.5,35503.9,41104.6
41683.6,40715.9,40568.3,43487.1
42365.3,41677.8,41160.9,42558.0
42209.9,42364.6,41300.7,42674.2
43080.5,42209.3,41559.4,43179.6
43079.2,43079.1,42643.3,43462.0
43073.6,43097.0,42586.1,43777.9
42562.2,43073.3,41848.7,43435.1
43900.0,42560.0,42337.5,44404.7
42735.0,43901.0,42476.7,44243.6
41829.1,42733.2,41287.6,43090.2
