Último,Abertura,Máxima,Mínima
5.5344,5.5287,5.5537,5.508
5.5286,5.535,5.556,5.5005
5.5338,5.566,5.6012,5.5195
5.5686,5.6657,5.6761,5.5635
5.6633,5.634,5.693,5.6286
5.6355,5.6869,5.7106,5.6191
5.6834,5.6878,5.7255,5.6694
5.7087,5.6774,5.7242,5.6418
5.677,5.6666,5.7112,5.6371
5.6818,5.5668,5.6827,5.5564
