CountryExp,ConfCases
8,15
8,15
8,15
8,15
18,29
18,29
18,55
18,55
19,53
8,16
18,30
18,30
18,53
1,48
1,48
1,34
8,17
1,47
18,31
18,51
8,18
8,18
5,4
18,33
1,44
19,34
5,5
5,5
5,5
5,5
5,5
18,34
1,43
18,46
8,21
8,21
18,45
5,7
5,7
5,7
5,7
5,7
1,41
1,40
1,40
18,43
5,9
18,38
18,38
18,42
18,42
5,10
5,10
5,10
18,41
5,11
5,11
8,27
8,27
5,13
5,13
5,13
5,13
5,13
5,13
5,13
5,14
5,14
8,30
5,16
5,16
5,17
5,18
8,48
5,19
5,19
5,82
5,77
5,21
5,22
5,22
5,22
8,42
5,25
5,26
5,60
5,58
5,56
5,31
5,45
5,42
5,40
