"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"26 de ago. de 2022","5,0601","5,1102","5,1175","5,0540","165,72K","-0,97%"
"25 de ago. de 2022","5,1099","5,1114","5,1437","5,0852","132,30K","-0,03%"
"24 de ago. de 2022","5,1114","5,1050","5,1244","5,0802","128,42K","0,15%"
"23 de ago. de 2022","5,1037","5,1576","5,1579","5,0700","131,87K","-1,04%"
"22 de ago. de 2022","5,1574","5,1706","5,2046","5,1498","123,06K","-0,24%"
"19 de ago. de 2022","5,1697","5,1694","5,2199","5,1648","132,82K","0,04%"
"18 de ago. de 2022","5,1674","5,1655","5,2074","5,1283","149,11K","0,06%"
"17 de ago. de 2022","5,1642","5,1469","5,2144","5,1452","167,02K","0,36%"
"16 de ago. de 2022","5,1459","5,0987","5,1549","5,0965","148,45K","0,98%"
"15 de ago. de 2022","5,0961","5,0721","5,1409","5,0721","130,15K","0,45%"
"12 de ago. de 2022","5,0735","5,1592","5,1649","5,0640","154,88K","-1,64%"
"11 de ago. de 2022","5,1581","5,0945","5,1712","5,0605","166,77K","1,28%"
"10 de ago. de 2022","5,0927","5,1249","5,1421","5,0342","148,33K","-0,61%"
"09 de ago. de 2022","5,1237","5,1129","5,1522","5,0926","122,15K","0,23%"
"08 de ago. de 2022","5,1117","5,1638","5,1638","5,1023","130,57K","-1,02%"
"05 de ago. de 2022","5,1646","5,2145","5,2782","5,1553","160,22K","-0,99%"
"04 de ago. de 2022","5,2164","5,2844","5,2959","5,1986","165,48K","-1,23%"
"03 de ago. de 2022","5,2815","5,2796","5,3163","5,2430","139,46K","0,06%"
"02 de ago. de 2022","5,2784","5,1856","5,2850","5,1856","188,78K","1,82%"
"01 de ago. de 2022","5,1838","5,1759","5,2050","5,1269","165,25K","0,20%"
"29 de jul. de 2022","5,1734","5,1842","5,2221","5,1448","165,18K","-0,17%"
"28 de jul. de 2022","5,1823","5,2442","5,2740","5,1578","165,07K","-1,16%"
"27 de jul. de 2022","5,2432","5,3517","5,3526","5,2372","176,20K","-2,02%"
"26 de jul. de 2022","5,3511","5,3576","5,3931","5,3345","172,29K","-0,12%"
"25 de jul. de 2022","5,3576","5,4987","5,5010","5,3566","131,71K","-2,53%"
"22 de jul. de 2022","5,4968","5,4993","5,5047","5,4349","167,41K","0,00%"
"21 de jul. de 2022","5,4968","5,4720","5,5152","5,4289","160,55K","0,46%"
"20 de jul. de 2022","5,4714","5,4144","5,4729","5,3889","166,16K","1,07%"
"19 de jul. de 2022","5,4135","5,4381","5,4381","5,3646","156,26K","-0,44%"
"18 de jul. de 2022","5,4375","5,4092","5,4392","5,3517","144,65K","0,54%"
"15 de jul. de 2022","5,4082","5,4239","5,4492","5,3745","161,64K","-0,28%"
"14 de jul. de 2022","5,4233","5,3930","5,4906","5,3930","162,28K","0,59%"
"13 de jul. de 2022","5,3917","5,4377","5,4667","5,3609","158,35K","-0,83%"
"12 de jul. de 2022","5,4368","5,3786","5,4434","5,3695","160,72K","1,09%"
"11 de jul. de 2022","5,3782","5,2551","5,3864","5,2551","137,80K","2,37%"
"08 de jul. de 2022","5,2536","5,3399","5,3696","5,2501","139,05K","-1,60%"
"07 de jul. de 2022","5,3391","5,4299","5,4303","5,3296","126,03K","-1,65%"
"06 de jul. de 2022","5,4287","5,3870","5,4627","5,3870","171,59K","0,79%"
"05 de jul. de 2022","5,3861","5,3299","5,4043","5,3287","157,06K","1,07%"
"04 de jul. de 2022","5,3293","5,3307","5,3352","5,2871","90,87K","-0,03%"
"01 de jul. de 2022","5,3310","5,2569","5,3402","5,2527","163,64K","1,42%"
"30 de jun. de 2022","5,2562","5,1828","5,2715","5,1779","152,09K","1,44%"
"29 de jun. de 2022","5,1818","5,2680","5,2734","5,1754","172,12K","-1,63%"
"28 de jun. de 2022","5,2675","5,2387","5,2792","5,1876","170,34K","0,59%"
"27 de jun. de 2022","5,2366","5,2423","5,2755","5,2018","127,90K","-0,10%"
