Data,Último,Abertura,Máxima,Mínima,Vol.,Var%
22 de abr. de 2022,80.45,83.25,83.40,80.08,38.66M,-5.80%
20 de abr. de 2022,85.40,86.61,86.67,84.40,29.56M,-2.60%
19 de abr. de 2022,87.68,89.69,89.69,86.84,34.43M,-3.19%
18 de abr. de 2022,90.57,91.61,92.00,90.01,14.73M,-1.65%
14 de abr. de 2022,92.09,93.31,94.00,91.36,24.67M,-1.40%
13 de abr. de 2022,93.40,93.49,94.38,92.81,23.64M,0.03%
12 de abr. de 2022,93.37,95.10,95.61,93.24,16.76M,-0.67%
11 de abr. de 2022,94.00,93.81,94.71,92.92,16.48M,-1.21%
08 de abr. de 2022,95.15,96.64,97.40,94.62,26.82M,-2.04%
07 de abr. de 2022,97.13,95.50,97.69,95.14,19.91M,0.60%
06 de abr. de 2022,96.55,95.33,96.72,95.33,22.55M,1.51%
05 de abr. de 2022,95.11,97.36,97.78,94.82,25.70M,-2.89%
04 de abr. de 2022,97.94,96.77,98.25,96.55,16.85M,1.01%
01 de abr. de 2022,96.96,96.78,97.50,96.07,22.41M,1.42%
31 de mar. de 2022,95.60,96.42,96.89,95.36,17.88M,-0.28%
30 de mar. de 2022,95.87,96.32,97.11,95.27,21.95M,1.43%
29 de mar. de 2022,94.52,95.34,95.66,93.40,38.18M,-0.86%
28 de mar. de 2022,95.34,95.70,96.34,93.61,16.20M,0.12%
25 de mar. de 2022,95.23,97.70,98.30,94.30,22.41M,-1.73%
24 de mar. de 2022,96.91,96.20,97.60,95.31,23.02M,0.54%
23 de mar. de 2022,96.39,97.50,98.94,96.29,26.24M,-0.22%
22 de mar. de 2022,96.60,98.51,98.96,96.19,29.41M,-2.24%
21 de mar. de 2022,98.81,97.33,99.43,97.15,25.31M,2.83%
18 de mar. de 2022,96.09,95.41,96.09,93.80,45.35M,1.90%
17 de mar. de 2022,94.30,92.90,94.98,92.56,40.58M,3.48%
16 de mar. de 2022,91.13,91.89,93.88,89.31,37.63M,2.43%
15 de mar. de 2022,88.97,88.99,89.58,87.28,46.98M,-2.87%
14 de mar. de 2022,91.60,94.98,95.20,91.25,37.01M,-5.36%
11 de mar. de 2022,96.79,97.43,98.41,96.76,24.32M,-0.52%
10 de mar. de 2022,97.30,94.50,97.30,94.08,33.11M,3.30%
09 de mar. de 2022,94.19,95.79,95.80,92.56,41.05M,-6.24%
08 de mar. de 2022,100.46,106.99,107.11,99.72,53.06M,-4.39%
07 de mar. de 2022,105.07,104.44,105.90,103.87,55.31M,3.04%
04 de mar. de 2022,101.97,98.68,102.09,98.12,30.53M,2.28%
03 de mar. de 2022,99.70,100.20,101.26,99.50,38.62M,0.05%
02 de mar. de 2022,99.65,98.97,99.70,97.06,42.19M,7.99%
25 de fev. de 2022,92.28,86.52,92.41,85.10,51.03M,5.41%
24 de fev. de 2022,87.54,84.62,88.04,83.73,37.21M,1.24%
23 de fev. de 2022,86.47,88.09,88.34,85.55,24.41M,-1.05%
22 de fev. de 2022,87.39,86.69,87.40,85.80,23.59M,1.73%
21 de fev. de 2022,85.90,86.60,87.99,85.50,14.56M,0.08%
18 de fev. de 2022,85.83,86.44,87.03,85.43,22.50M,0.21%
17 de fev. de 2022,85.65,88.85,89.00,85.37,36.26M,-4.30%
16 de fev. de 2022,89.50,89.44,90.62,89.10,20.77M,0.73%
15 de fev. de 2022,88.85,89.02,89.94,87.70,29.62M,-2.97%
14 de fev. de 2022,91.57,91.11,92.17,90.82,22.80M,-0.43%
11 de fev. de 2022,91.97,93.36,93.40,91.60,34.56M,-2.02%
10 de fev. de 2022,93.87,92.45,94.48,92.03,47.89M,2.69%
09 de fev. de 2022,91.41,90.00,91.80,89.33,24.82M,0.02%
08 de fev. de 2022,91.39,90.45,91.48,89.50,26.60M,1.40%
07 de fev. de 2022,90.13,88.15,90.24,88.15,24.92M,2.44%
04 de fev. de 2022,87.98,85.75,88.17,85.55,24.54M,2.60%
03 de fev. de 2022,85.75,86.30,86.78,85.32,19.18M,-0.05%
02 de fev. de 2022,85.79,85.50,86.29,84.72,17.49M,0.56%
01 de fev. de 2022,85.31,81.50,85.33,81.37,24.13M,5.49%
31 de jan. de 2022,80.87,82.94,82.94,80.87,31.40M,-3.33%
28 de jan. de 2022,83.66,85.58,86.35,82.83,28.45M,-0.98%
27 de jan. de 2022,84.49,85.00,85.46,83.27,20.99M,0.23%
26 de jan. de 2022,84.30,85.90,86.56,83.82,25.81M,0.29%
25 de jan. de 2022,84.06,84.06,85.05,83.05,22.49M,0.23%
24 de jan. de 2022,83.87,83.70,83.96,82.08,29.04M,-1.22%
21 de jan. de 2022,84.91,86.47,86.73,84.34,32.62M,-2.08%
20 de jan. de 2022,86.71,88.80,88.97,86.64,22.75M,-1.70%
19 de jan. de 2022,88.21,88.48,89.00,87.88,29.33M,2.20%
18 de jan. de 2022,86.31,84.58,86.88,84.48,24.08M,2.45%
17 de jan. de 2022,84.25,84.00,84.60,84.00,9.69M,-0.52%
14 de jan. de 2022,84.69,83.72,84.93,82.91,21.18M,0.58%
13 de jan. de 2022,84.20,84.84,85.23,83.70,23.15M,-1.52%
12 de jan. de 2022,85.50,86.49,86.58,84.93,27.34M,1.09%
11 de jan. de 2022,84.58,83.48,85.15,83.31,28.42M,1.90%
10 de jan. de 2022,83.00,82.49,84.27,82.30,25.06M,-1.19%
07 de jan. de 2022,84.00,80.40,84.00,79.79,35.21M,5.82%
06 de jan. de 2022,79.38,78.64,80.35,78.31,22.04M,2.02%
05 de jan. de 2022,77.81,77.37,78.68,77.13,22.04M,0.95%
04 de jan. de 2022,77.08,78.51,79.07,76.90,18.18M,-1.18%
03 de jan. de 2022,78.00,79.00,79.97,78.00,18.56M,0.05%
